playerId,DBNOs,assists,boosts,damageDealt,deathType,headshotKills,heals,killPlace,killPoints,killPointsDelta,killStreaks,kills,lastKillPoints,lastWinPoints,longestKill,mostDamage,name,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,timeSurvived,vehicleDestroys,walkDistance,weaponsAcquired,winPlace,winPoints,winPointsDelta
account.0bf39884a9544ed994e175500054cd08,2,1,2,125.304474,byplayer,0,1,12,0,0,2,2,0,0,236.230774,0,Everchosen_,0,0,0.002462005,0,26.6019611,0,1788.087,0,5806.773,4,2,0,0
account.e75e5835235349918945d106a827d207,2,1,0,283.850037,byplayer,1,0,23,0,0,1,2,0,0,22.81554,0,dude_brother,0,0,0,0,0,0,276.984,0,359.74704,3,39,0,0
account.ed88dfa3b3614e5d9eb685e57e856489,0,0,0,0,byplayer,0,0,80,0,0,0,0,0,0,0,0,mangemoilcass,0,0,0,0,0,0,149.136,0,80.8369751,1,39,0,0
account.d629ad476b5b4019a7ca22e550e7dee9,0,1,0,49.98,byplayer,0,0,78,0,0,0,0,0,0,0,0,Glock_117,0,0,0,0,0,0,279.503,0,386.9831,1,38,0,0
account.ebcd08319b25416ea06bdd48e7049ef2,0,0,0,0,byplayer,0,0,79,0,0,0,0,0,0,0,0,Dr_Peaches,0,0,0,0,0,0,279.498,0,435.917358,1,38,0,0
account.a3159b1a6205481381e05354fd296ded,0,0,2,0,suicide,0,3,56,0,0,0,0,0,0,0,0,TenTon_Tommie,0,0,6560.537,0,0,1,842.683,0,568.7232,7,22,0,0
account.66b8f918cf9a45d4b24c2897ea677d2f,1,0,2,0,suicide,0,5,57,0,0,0,0,0,0,0,0,MrMustard_gc,0,0,7529.10449,0,0,1,842.678,0,482.5356,5,22,0,0
account.818b4ea9460b4ed1b97b2059c679e0f2,0,0,0,0,byplayer,0,0,59,0,0,0,0,0,0,0,0,ToxicAutism,0,0,1700.65308,0,0,0,699.555,0,934.6711,7,24,0,0
account.8f2b4e6c60034de8b2e8c4c620343f62,1,0,1,283.1657,byplayer,0,3,17,0,0,2,2,0,0,4.164206,0,Preliator,0,0,1675.604,0,0,0,699.56,0,902.2647,3,24,0,0
account.d358fdce8399423c8a16a173889bef6c,0,0,3,0,byplayer,0,1,49,0,0,0,0,0,0,0,0,Stange_Tamer,0,0,3288.80029,0,0,0,1047.195,0,1062.80762,9,15,0,0
